site,plastic,rep,type,abundance,abundance_cor,log_abundance,type2
"mylor
bank",PVC,"mylor
bank_PVC_4",coliform,0,1,0,(b)~coliform
"mylor
bank",PVC,"mylor
bank_PVC_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PVC,"mylor
bank_PVC_5",culturable,4.75,5.75,0.7596678446896304,(a)~LB~medium
"mylor
bank",PVC,"mylor
bank_PVC_5",coliform,0,1,0,(b)~coliform
"mylor
bank",PVC,"mylor
bank_PVC_5",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PVC,"mylor
bank_PVC_6",culturable,356.23,357.23,2.5529479235853896,(a)~LB~medium
"mylor
bank",PVC,"mylor
bank_PVC_6",coliform,0,1,0,(b)~coliform
"mylor
bank",PVC,"mylor
bank_PVC_6",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",LDPE,"mylor
bank_LDPE_1",culturable,9.5,10.5,1.021189299069938,(a)~LB~medium
"mylor
bank",LDPE,"mylor
bank_LDPE_1",coliform,0,1,0,(b)~coliform
"mylor
bank",LDPE,"mylor
bank_LDPE_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",LDPE,"mylor
bank_LDPE_2",culturable,42.75,43.75,1.6409780573583321,(a)~LB~medium
"mylor
bank",LDPE,"mylor
bank_LDPE_2",coliform,0,1,0,(b)~coliform
"mylor
bank",LDPE,"mylor
bank_LDPE_2",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",LDPE,"mylor
bank_LDPE_3",culturable,35.62,36.62,1.5637183399656776,(a)~LB~medium
"mylor
bank",LDPE,"mylor
bank_LDPE_3",coliform,0,1,0,(b)~coliform
"mylor
bank",LDPE,"mylor
bank_LDPE_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",LDPE,"mylor
bank_LDPE_4",culturable,2.37,3.37,0.5276299008713387,(a)~LB~medium
"mylor
bank",LDPE,"mylor
bank_LDPE_4",coliform,0,1,0,(b)~coliform
"mylor
bank",LDPE,"mylor
bank_LDPE_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",LDPE,"mylor
bank_LDPE_5",culturable,11.87,12.87,1.1095785469043866,(a)~LB~medium
"mylor
bank",LDPE,"mylor
bank_LDPE_5",coliform,0,1,0,(b)~coliform
"mylor
bank",LDPE,"mylor
bank_LDPE_5",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",LDPE,"mylor
bank_LDPE_6",culturable,7.12,8.120000000000001,0.9095560292411754,(a)~LB~medium
"mylor
bank",LDPE,"mylor
bank_LDPE_6",coliform,0,1,0,(b)~coliform
"mylor
bank",LDPE,"mylor
bank_LDPE_6",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PP,"mylor
bank_PP_1",culturable,4.75,5.75,0.7596678446896304,(a)~LB~medium
"mylor
bank",PP,"mylor
bank_PP_1",coliform,0,1,0,(b)~coliform
"mylor
bank",PP,"mylor
bank_PP_1",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PP,"mylor
bank_PP_2",culturable,47.5,48.5,1.6857417386022637,(a)~LB~medium
"mylor
bank",PP,"mylor
bank_PP_2",coliform,0,1,0,(b)~coliform
"mylor
bank",PP,"mylor
bank_PP_2",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PP,"mylor
bank_PP_3",culturable,33.25,34.25,1.5346605758284444,(a)~LB~medium
"mylor
bank",PP,"mylor
bank_PP_3",coliform,0,1,0,(b)~coliform
"mylor
bank",PP,"mylor
bank_PP_3",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PP,"mylor
bank_PP_4",culturable,0,1,0,(a)~LB~medium
"mylor
bank",PP,"mylor
bank_PP_4",coliform,0,1,0,(b)~coliform
"mylor
bank",PP,"mylor
bank_PP_4",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PP,"mylor
bank_PP_5",culturable,85.5,86.5,1.9370161074648142,(a)~LB~medium
"mylor
bank",PP,"mylor
bank_PP_5",coliform,2.37,3.37,0.5276299008713387,(b)~coliform
"mylor
bank",PP,"mylor
bank_PP_5",ecoli,0,1,0,"(c)~italic(""E.coli"")"
"mylor
bank",PP,"mylor
bank_PP_6",culturable,21.37,22.37,1.3496659840966296,(a)~LB~medium
"mylor
bank",PP,"mylor
bank_PP_6",coliform,0,1,0,(b)~coliform
"mylor
bank",PP,"mylor
bank_PP_6",ecoli,0,1,0,"(c)~italic(""E.coli"")"
